wage,wage_hat,wage_uhat,female,educ,meduc,meducf,exper,tenure,nonwhite,married,numdep,smsa,northcen,south,west,construc,ndurman,trcommpu,trade,services,profserv,profocc,clerocc,servocc,lwage,exper2,college1,college2,male,lwage2,l2wage,educ2,feduc,xxx
10.92,5.59145927429199,5.32854080200195,0,12,12.5627374649048,12.7883214950562,34,5,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.39059591293335,1156,0,0,1,4.7811918258667,3.08374309539795,24,0,-12
15,6.67417812347412,8.32582187652588,0,14,12.5627374649048,12.7883214950562,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.70805025100708,49,0,0,1,5.41610050201416,3.40119743347168,28,0,-14
3.25,3.96738171577454,-0.717381656169891,0,9,12.5627374649048,12.7883214950562,29,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.1786550283432,841,0,0,1,2.3573100566864,1.8718022108078,18,0,-9
10,5.59145927429199,4.40854072570801,0,12,12.5627374649048,12.7883214950562,24,24,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2.30258512496948,576,0,0,1,4.60517024993897,2.99573230743408,24,0,-12
6.45,5.59145927429199,0.858540594577789,0,12,12.5627374649048,12.7883214950562,7,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.86408007144928,49,0,0,1,3.72816014289856,2.55722737312317,24,0,-12
11.9,6.13281869888306,5.76718139648438,0,13,12.5627374649048,12.7883214950562,24,19,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,2.47653841972351,576,0,0,1,4.95307683944702,3.16968560218811,26,0,-13
8.48,5.59145927429199,2.88854050636292,0,12,12.5627374649048,12.7883214950562,29,13,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2.13771033287048,841,0,0,1,4.27542066574097,2.83085751533508,24,0,-12
3.58,5.59145927429199,-2.01145935058594,0,12,12.5627374649048,12.7883214950562,13,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1.27536284923553,169,0,0,1,2.55072569847107,1.96851003170013,24,0,-12
4.5,7.75689649581909,-3.25689649581909,0,16,12.5627374649048,12.7883214950562,21,10,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1.5040774345398,441,1,1,1,3.00815486907959,2.19722461700439,32,0,-16
3.25,7.21553707122803,-3.96553730964661,0,15,12.5627374649048,12.7883214950562,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.1786550283432,9,0,0,1,2.3573100566864,1.8718022108078,30,0,-15
3.37,5.05010032653809,-1.68010020256042,0,11,12.5627374649048,12.7883214950562,45,12,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.21491277217865,2025,0,0,1,2.4298255443573,1.90805995464325,22,0,-11
5,5.59145927429199,-0.591459453105927,0,12,12.5627374649048,12.7883214950562,15,5,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.60943794250488,225,0,0,1,3.21887588500977,2.30258512496948,24,0,-12
7.25,5.59145927429199,1.65854060649872,0,12,12.5627374649048,12.7883214950562,14,5,0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,1.981001496315,196,0,0,1,3.96200299263001,2.67414855957031,24,0,-12
12.5,8.83961486816406,3.66038513183594,0,18,12.5627374649048,12.7883214950562,6,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,2.52572870254517,36,1,1,1,5.05145740509033,3.21887588500977,36,0,-18
8,6.13281869888306,1.86718130111694,0,13,12.5627374649048,12.7883214950562,28,5,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,2.0794415473938,784,0,0,1,4.1588830947876,2.7725887298584,26,0,-13
5.43,6.67417812347412,-1.24417793750763,0,14,12.5627374649048,12.7883214950562,10,3,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1.69193911552429,100,0,0,1,3.38387823104858,2.38508629798889,28,0,-14
7.9,5.59145927429199,2.30854058265686,0,12,12.5627374649048,12.7883214950562,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2.06686282157898,4,0,0,1,4.13372564315796,2.76001000404358,24,0,-12
3,5.05010032653809,-2.05010008811951,0,11,12.5627374649048,12.7883214950562,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0986123085022,4,0,0,1,2.19722461700439,1.7917594909668,22,0,-11
