date,first,last3b,last2,last3f
2025-03-16,757563,457 309,32,927 595
2025-03-01,818894,781 656,54,139 530
2025-02-16,847377,652 001,50,613 268
2025-02-01,558700,685 824,51,285 418
2025-01-17,807779,477 448,23,961 699
2025-01-02,730209,376 297,51,065 446
2024-12-16,097863,339 881,21,290 742
2024-12-01,669843,098 654,61,559 626
2024-11-16,187221,547 980,38,036 923
2024-11-01,536044,063 231,32,225 174
2024-10-16,482962,919 493,00,648 561
2024-10-01,718665,566 079,59,812 053
2024-09-16,608662,008 408,37,230 904
2024-09-01,199606,388 094,94,173 220
2024-08-16,095867,697 728,28,212 334
2024-08-01,407041,070 622,46,408 579
2024-07-16,367336,618 421,21,011 331
2024-07-01,434503,647 778,89,839 975
2024-06-16,518504,447 426,31,428 016
2024-06-01,530593,421 734,42,364 194
2024-05-16,205690,070 137,60,885 747
2024-05-02,980116,634 833,17,104 763
2024-04-16,943598,200 154,79,729 727
2024-04-01,803481,947 559,90,809 122
2024-03-16,997626,794 329,78,571 509
2024-03-01,253603,703 382,79,975 900
2024-02-16,941395,375 587,43,056 330
2024-02-01,607063,544 591,09,454 943
2024-01-17,105979,196 635,61,429 931
2023-12-30,625544,456 882,89,648 600
2023-12-16,356757,964 584,85,058 410
2023-12-01,251097,092 280,91,265 055
2023-11-16,557990,778 961,14,346 412
2023-11-01,743951,019 349,63,335 913
2023-10-16,931446,272 970,44,167 398
2023-10-01,727202,426 615,66,324 355
2023-09-16,320812,344 057,46,037 699
2023-09-01,915478,692 291,91,596 521
2023-08-16,471782,742 737,67,431 739
2023-07-31,260453,601 387,11,268 708
2023-07-16,169530,780 066,62,384 261
2023-07-01,922605,947 491,16,281 867
2023-06-16,264872,202 874,30,628 519
2023-06-01,125272,971 386,09,681 000
2023-05-16,132903,693 731,99,678 739
2023-05-02,843019,269 187,65,500 780
2023-04-16,984906,551 797,71,678 670
2023-04-01,087907,698 290,99,914 111
2023-03-16,025873,355 544,73,800 420
2023-03-01,417652,748 984,55,577 919
2023-02-16,590417,523 377,80,195 664
2023-02-01,297411,664 101,92,789 181
2023-01-17,812519,849 564,47,389 443
2022-12-30,157196,425 250,58,522 007
2022-12-16,845093,855 593,14,912 411
2022-12-01,375805,421 409,08,170 786
2022-11-16,121789,973 157,64,722 532
2022-11-01,913106,343 922,70,722 839
2022-10-16,613106,799 606,15,158 037
2022-10-01,484669,194 278,50,206 996
2022-09-16,943703,432 631,75,971 540
2022-09-01,929332,210 604,83,725 298
2022-08-16,331583,284 876,42,271 300
2022-08-01,436594,282 447,14,266 893
2022-07-16,620405,279 061,53,834 159
2022-07-01,981417,542 002,61,242 287
2022-06-16,361807,106 228,92,549 285
2022-06-01,319196,652 213,02,817 679
2022-05-16,155012,540 236,06,736 247
2022-05-02,658642,325 041,09,778 518
2022-04-16,395919,413 508,58,289 859
2022-04-01,970618,578 870,10,738 391
2022-03-16,737867,989 788,03,349 985
2022-03-01,061905,691 234,07,834 236
2022-02-17,098597,592 816,57,085 644
2022-02-01,944308,509 485,30,061 942
2022-01-17,880159,119 529,92,786 731
2021-12-30,819068,419 547,36,979 591
2021-12-16,639235,522 476,83,629 097
2021-12-01,077258,401 485,82,740 739
2021-11-16,032761,844 245,57,471 648
2021-11-01,045037,755 331,95,247 458
2021-10-16,386372,798 295,38,964 602
2021-10-01,578171,449 379,83,361 285
2021-09-16,070935,007 379,90,817 609
2021-09-01,114475,458 123,79,302 278
2021-08-16,046750,355 160,23,421 666
2021-08-01,910261,785 004,69,307 103
2021-07-16,556725,233 927,70,058 174
2021-07-01,713517,511 414,29,794 073
2021-06-16,691861,668 447,17,007 054
2021-06-01,292972,978 723,45,620 193
2021-05-16,684579,276 970,14,843 615
2021-05-02,501272,498 129,18,018 306
2021-04-16,100787,478 264,56,143 013
2021-04-01,472270,577 393,05,755 283
2021-03-16,890422,396 256,19,036 902
2021-03-01,835538,806 051,73,838 290
2021-02-16,424603,057 817,39,861 318
2021-02-01,912307,651 282,97,248 605
