symbol,marketCap,pe,pb,dividendYield,beta,ytdPercentChange,de,roe
AAV,17347499995.95,4.99,1.52,,1.47,-51.086956521739125,5.6236181814650745,35.145213556957074
ADVANC,806010838456.0,22.98,8.29,3.9200000762939453,0.84,-5.574912891986063,3.4329513467238337,37.354038603375415
AEONTS,24562500000.0,7.61,0.96,5.599999904632568,1.32,-23.2421875,2.5526098733368374,13.12272901482985
AMATA,15065000000.0,6.07,0.69,6.110000133514404,1.73,-54.43478260869565,1.3120417345667459,11.711171410753012
AOT,514285200000.0,25.76,3.97,2.190000057220459,1.05,-39.49579831932773,0.5492115271456365,16.337099579612193
AP,22650476364.0,4.51,0.52,8.329999923706055,1.19,-11.111111111111105,0.9450933820296571,11.892989890732492
AWC,68507758154.0,11.71,0.75,3.5,1.37,-39.20454545454545,1.0262323657916774,6.527390019918143
BA,31710000000.0,8.37,1.99,8.609999656677246,1.17,-32.58928571428571,2.5264234824547827,23.014753708858578
BAM,19069049570.0,11.91,0.43,5.929999828338623,1.52,-3.2786885245901525,2.1799985125982904,3.646145819197661
BANPU,40877123118.0,,0.36,7.349999904632568,1.32,-32.0,1.6374315939752944,-0.5599974282269449
BBL,253876104902.0,5.62,0.46,6.389999866485596,0.68,-11.920529801324504,7.173096989581174,8.341431160036175
BCH,34912471776.0,27.22,2.69,2.859999895095825,0.64,-8.496732026143794,0.23867468639685827,10.038373486216539
BCP,46471156548.75,21.28,0.78,3.109999895095825,0.96,-6.25,2.6605539278520185,3.312832326019913
BCPG,18423919934.85,10.13,0.6,4.550000190734863,1.46,10.810810810810821,1.0045105172773532,6.037497331289236
BDMS,351213241879.5,21.97,3.51,3.390000104904175,0.6,-9.795918367346934,0.4578962184365631,16.356802309561772
BEM,79482000000.0,20.67,2.13,2.880000114440918,0.72,-26.760563380281685,2.6316084338110937,10.153447414097847
BGRIM,23983480000.0,15.4,0.66,4.670000076293945,1.51,-52.82051282051282,2.500976153514452,4.195612446310532
BH,131169108180.0,16.89,4.78,3.0299999713897705,0.68,-17.293233082706767,0.17453061552248605,30.317436108645467
BJC,88973086717.8,22.24,0.74,3.200000047683716,1.09,-4.721030042918461,1.6704133892633093,3.3391699047159427
BLA,27321056000.0,7.54,0.57,4.25,1.05,-24.170616113744078,5.543765685422406,7.83293162396544
BTG,35793800000.0,14.51,1.32,2.700000047683716,0.69,-1.5957446808510676,1.4961284545741862,9.443818484966656
BTS,71778277835.28,32.05,1.21,,1.34,-26.88524590163934,2.010244305109078,4.2067028882391835
CBG,56500000000.0,19.88,4.28,2.299999952316284,1.1,-28.02547770700637,0.4039039239269835,23.017572446732125
CCET,49533013418.94,19.03,1.91,4.21999979019165,1.71,-53.069306930693074,2.18370424723254,10.026546242674511
CENTEL,34762500000.0,19.83,1.68,2.2899999618530273,1.33,-25.36231884057971,1.9003052014374882,8.680494734454763
CHG,17600000000.0,18.23,2.28,4.380000114440918,1.05,-34.42622950819672,0.2775192494335441,12.663297844039777
CK,23375776833.6,16.06,0.9,2.180000066757202,1.12,-28.124999999999996,3.2714470029618767,5.626942556658176
CKP,20323456822.5,15.12,0.72,3.4000000953674316,0.97,-21.875000000000004,0.8006229943136768,4.860854044006118
COCOCO,8746500000.0,12.74,2.38,5.039999961853027,1.26,-51.229508196721305,0.7888411669504154,19.529091871939343
COM7,41279970158.0,12.25,4.63,5.0,1.28,-34.47619047619048,2.018896485332384,39.37677465492969
CPALL,428943089367.0,16.92,3.38,2.8299999237060547,1.18,-14.349775784753364,1.9539694150879008,21.31194798828765
CPF,186781222587.0,9.36,0.74,4.5,0.99,-2.631578947368427,1.9899506875201718,8.057618642910473
CPN,201960000000.0,12.07,2.01,4.670000076293945,1.22,-21.05263157894737,1.770088885224149,17.348876241519175
CRC,139919200000.0,17.2,2.03,2.5899999141693115,1.49,-31.764705882352942,3.021091653520213,11.961951729475018
DELTA,742192060330.0,39.19,9.28,0.7699999809265137,1.7,-60.98360655737705,0.5398285288766007,25.682849272665457
DOHOME,15953903097.6,24.79,1.3,0.10000000149011612,1.7,-41.51994862278886,1.6169835298456918,5.392260819804564
EA,13368029040.0,,0.34,,2.33,-54.54545454545455,2.192395555191064,-12.67153353603538
EGCO,45802455000.0,8.46,0.44,7.46999979019165,0.91,-25.641025641025642,1.3037289426408678,5.171016015453629
ERW,11239937686.7,8.78,1.29,3.9100000858306885,1.38,-39.79057591623037,1.7651280912400393,17.029616813691984
GLOBAL,31731349800.3,13.86,1.34,2.9100000858306885,1.39,-54.42898018034171,0.5828021788018406,9.924413413454785
GPSC,66263640124.5,16.31,0.62,3.8299999237060547,1.69,-38.56209150326797,1.4184321139629321,3.801009068236308
GULF,597593507320.0,27.95,1.8,,,,0.9472032270539165,6.4407233538194735
GUNKUL,12346718053.86,7.2,0.86,5.760000228881836,1.77,-39.03508771929824,1.3562221488125232,11.96455459824837
HANA,13191963234.0,,0.49,5.03000020980835,1.43,-39.67611336032388,0.20081085967041604,-2.254059519326394
HMPRO,107182263903.75,16.48,4.0,5.28000020980835,1.43,-13.297872340425531,1.5991990391820028,24.841083896737004
